电影名,韦卓链接,百度链接,夸克链接,迅雷链接,其他链接
['流星花园 流星花園  1 - 2'],http://www.weizhuos.cn/?p=5547,第二部.视频：百度云盘 密码: x8fi https://pan.baidu.com/s/1Jved8wL0eZMGrmA1C6Zh5Q,,,
['紧急救命 1 - 3 コード・ブルー～ドクターヘリ緊急救命 season 1 - 3'],http://www.weizhuos.cn/?p=5548,第三季.视频.百度云盘 密码: tt6f https://pan.baidu.com/s/112gr3ZF37kdgXvL0DQc8Vw,,,
['屌丝女士  Knallerfrauen Season 1 - 4 [德国版]'],http://www.weizhuos.cn/?p=5549,,,,
['悠长假期 ロングバケーション (1996)'],http://www.weizhuos.cn/?p=5550,视频：百度云盘 | 百度云盘 https://yun.baidu.com/s/1pLvjVVt https://yun.baidu.com/s/1sjt3eGH,,,
['金牌律师 Justice (2006)'],http://www.weizhuos.cn/?p=5551,视频：百度云盘 提取码: i8u6（第13集已被砍） https://pan.baidu.com/s/1qMT_rNbxOOSmrY54bjm7vw,,,
['看了又看 Baar Baar Dekho (2016)'],http://www.weizhuos.cn/?p=5552,视频：百度云盘 https://yun.baidu.com/s/1dFvcgOL,,,
['水男孩 Waterboyy (2017)'],http://www.weizhuos.cn/?p=5553,视频：百度云盘 提取码：ym5s https://pan.baidu.com/s/1skVdOGd,,,
['姐的时代 （2018 ）'],http://www.weizhuos.cn/?p=5554,视频：百度云盘 提取码: zyr5 https://pan.baidu.com/s/1tH8qmrAph97aDnjJ9VxV9Q,,,
['比得兔 Peter Rabbit (2018)'],http://www.weizhuos.cn/?p=5555,视频：百度云盘 提取码：7777 https://pan.baidu.com/s/1RUTZ8XlusLIIiAmDUF6_fg,,,
['芳香之旅 (2006)'],http://www.weizhuos.cn/?p=5556,DVDrip视频+外挂中字：百度云盘 密码: bx8e https://pan.baidu.com/s/1yrzuV7k6O8zi6qv022tz6g,,,
['千金归来 (2013)'],http://www.weizhuos.cn/?p=5557,视频：百度云盘 提取码: 7v8n https://pan.baidu.com/s/1xbpI7Bv4SWQwfhi4XfjHpg,,,
['步步惊情 (2014)'],http://www.weizhuos.cn/?p=5558,,,视频：迅雷云盘 提取码：r7r4 https://pan.xunlei.com/s/VMgtU0ojKoDSHDW5Mop3B818A1,
['大群 Legion Season 1 - 3'],http://www.weizhuos.cn/?p=5559,,,,
['环太平洋：雷霆再起 Pacific Rim: Uprising (2018)'],http://www.weizhuos.cn/?p=5560,视频：百度云盘  密码: peur https://pan.baidu.com/s/1DNh4wVnoGKe7dA2-sVEkAQ,,,
['小偷 La Petite Voleuse\xa0(1988)'],http://www.weizhuos.cn/?p=5561,视频：百度云盘 提取码: 79x1  https://pan.baidu.com/s/1RAZC_FsryRkkKzWj-Ck2pQ?pwd=79x1,,,
"[""主厨的餐桌 Chef's Table 系列""]",http://www.weizhuos.cn/?p=5562,,,,
['婚情告急 The Feels (2017)'],http://www.weizhuos.cn/?p=5563,蓝光720p内嵌中字视频：百度网盘 密码：d9ks https://pan.baidu.com/s/1A2L75V3Jyc2T2aLCJ0t8Lw,,,
['小公主 소공녀 (2017)'],http://www.weizhuos.cn/?p=5564,视频：百度云盘 密码: 85r9 https://pan.baidu.com/s/1kQDnc9xpUmU-8AqhRpzB2g,,,
['永恒之路 Ikitie (2016)'],http://www.weizhuos.cn/?p=5565,内嵌中文字幕视频：百度网盘 密码：9vat https://pan.baidu.com/s/17GzicpFq3Dvtn9ICt8Lmpw,,,
['贼巢 Den of Thieves (2018)'],http://www.weizhuos.cn/?p=5566,视频：百度网盘  |  百度云盘 https://pan.baidu.com/s/1aVA0fjh1E6JQqKQrvr-dKQ https://pan.baidu.com/s/1K_ngRrI9vkoljH6vxA813Q,,,
['周年快乐 Happy Anniversary (2017)'],http://www.weizhuos.cn/?p=5567,视频：百度云盘 密码: vwuw https://pan.baidu.com/s/1J5GITSFYe6yJTEXvT90Fcg,,,
['待绽蔷薇 Starlet (2012)'],http://www.weizhuos.cn/?p=5568,视频：百度云盘 密码: scrs https://pan.baidu.com/s/1hkUCJT0ca8u2qhBMQc-vsA,,,
['撕心裂爱 / 爱没错 错在朋友也爱2 Club Friday To Be Continued ตอน เพื่อนรัก..เพื่อนร้าย (2016)'],http://www.weizhuos.cn/?p=5569,视频：百度云盘 密码: hpic https://pan.baidu.com/s/1EZZ7LeXAjy4zmgqV93-KBA,,,
['Club Friday The Series 6 爱没有错 错在你变了 (2015)'],http://www.weizhuos.cn/?p=5570,视频：百度云盘 https://yun.baidu.com/s/1nvSlBbb,,,
['爱没有错 错在你变了2之她变了 (2016)'],http://www.weizhuos.cn/?p=5571,视频：百度云盘 https://yun.baidu.com/s/1eSlg3g2,,,
['我的1919 (1999)'],http://www.weizhuos.cn/?p=5572,视频：百度云盘  密码：u7py https://pan.baidu.com/s/1J8-1bWgeRib0FnW0tFx4kQ,,,
['淹没 Submergence (2017)'],http://www.weizhuos.cn/?p=5573,小体积WEB-DL720p内嵌中英字幕视频：百度网盘 密码：bgbt https://pan.baidu.com/s/1MqwlzwIkPn4NHnK2hVVejg,,,
['怒火街头 怒火街頭 1 - 2'],http://www.weizhuos.cn/?p=5575,,,,
['凭空而来 Aus dem Nichts (2017)'],http://www.weizhuos.cn/?p=5576,内嵌中英字幕视频：百度网盘 密码：skt9 https://pan.baidu.com/s/1R8Chk9zeN2407hCAHKbGtg,,,
['温彻斯特 Winchester (2018)'],http://www.weizhuos.cn/?p=5577,内嵌中英字幕视频：百度网盘 密码：9qpi https://pan.baidu.com/s/10ggzw-sJbjIOGKbATBC7RQ,,,
['同指婚事 The Ring Thing (2017)'],http://www.weizhuos.cn/?p=5578,视频：百度网盘 密码：h1tw https://pan.baidu.com/s/1JAjKEx-MUwgVG_5Qf2BcHg,,,
['昆虫物语 Hmyz (2018)'],http://www.weizhuos.cn/?p=5579,WEB-DL1080p无字幕视频+外挂中字：百度网盘 密码：jwev https://pan.baidu.com/s/1oJREblU3DRiUsk2YMhhv0w,,,
['白色巨塔 白い巨塔 (2003)'],http://www.weizhuos.cn/?p=5580,视频：百度云盘 提取码: phgc https://pan.baidu.com/s/1hM9keban0EC596GEimC3Wg,,,
['白色巨塔 (2006)'],http://www.weizhuos.cn/?p=5581,,,视频：迅雷云盘 提取码：c4es https://pan.xunlei.com/s/VMbH8HN98Y8fO4osKtH5ByXDA1,
['翻页者 페이지터너 (2016)'],http://www.weizhuos.cn/?p=5582,视频：百度云盘 密码: dww9 https://pan.baidu.com/s/1hs7YYAK,,,
['芙蓉锦 (2015)'],http://www.weizhuos.cn/?p=5585,视频：百度云盘 https://yun.baidu.com/s/1slvJEJN,,,
['全金属狂潮 フルメタル・パニック!\xa01 - 4 季'],http://www.weizhuos.cn/?p=5586,视频：百度云盘 提取码: 4567  https://pan.baidu.com/s/10ykp1OCwCZeeeAvvVAM_Bg?pwd=4567,,,
['幽游白书 幽☆遊☆白書\xa0(1992)'],http://www.weizhuos.cn/?p=5587,视频：百度云盘 提取码：om9y https://pan.baidu.com/s/1nwlqgjv,,,
['超能力女儿 ヒナまつり (2018)'],http://www.weizhuos.cn/?p=5588,视频：百度云盘 提取码: 7054 https://pan.baidu.com/s/1DuKih1OLjuE5Zct0ugKHMw,,,
['基督再临 Legion (2010)'],http://www.weizhuos.cn/?p=5589,视频：百度云盘 https://pan.baidu.com/s/1iQiJVa26QP-DeNQEHfHEMA,,,
['小门神\xa0(2016)'],http://www.weizhuos.cn/?p=5590,视频：百度云盘 提取码: zhuo  https://pan.baidu.com/s/1PHGfTgIqsp8sBR2DzTUgxA?pwd=zhuo,,,
['异星战场 John Carter (2012)'],http://www.weizhuos.cn/?p=5591,视频：百度云盘 提取码: 1kgx https://pan.baidu.com/s/1xUeO6GDmMOuqLRSwDbx9PA,,,
['魔发奇缘 Tangled\xa0(2010)'],http://www.weizhuos.cn/?p=5592,视频：百度云盘  提取码: ybb7   https://pan.baidu.com/s/1YC9ym2lkAv7sjFwCvyrUqw,,,
['赛德克·巴莱(下)：彩虹桥 賽德克·巴萊(下)彩虹橋\xa0(2011)'],http://www.weizhuos.cn/?p=5593,视频：百度云盘 提取码: zhuo  https://pan.baidu.com/s/18-6VE5FWJaV1jJqXPL-J8Q?pwd=zhuo,,,
['奔跑吧 （2021）'],http://www.weizhuos.cn/?p=5594,1-2季.视频：百度云盘 https://pan.baidu.com/s/15bjStAsicmEl9D-xVVsGMg,,,
['行骗天下JP コンフィデンスマンJP (2018)'],http://www.weizhuos.cn/?p=5596,全集视频：百度云盘 提取码: vre7 https://pan.baidu.com/s/13YaDs0PJR481BQ2EiXD6SQ,,,
['花与爱丽丝 花とアリス (2004)'],http://www.weizhuos.cn/?p=5597,视频：百度云盘 提取码: 5rbb https://pan.baidu.com/s/12-FutN0jw1pQ6q4Jxcz8Qw,,,
['校墓处 校墓處 (2007)'],http://www.weizhuos.cn/?p=5598,视频：百度云盘  密码: 1kad https://pan.baidu.com/s/1POQqQfknoQ3e3QcNI4Ou3g,,,
['死亡占卜 Ouija (2014)'],http://www.weizhuos.cn/?p=5599,视频：百度云盘 密码: 8akk https://pan.baidu.com/s/1LZsRp8xtnMg_bWPIOZk1yQ,,,
['聊斋\xa0(1988)'],http://www.weizhuos.cn/?p=5600,,,,视频：阿里云盘  https://www.aliyundrive.com/s/NoES39baxVn
['苍穹浩瀚 The Expanse Season 1 - 5'],http://www.weizhuos.cn/?p=5602,,,,
['红与黑 The Scarlet and the Black (1993)'],http://www.weizhuos.cn/?p=5604,视频：百度云盘 提取码:pggd https://pan.baidu.com/s/1lBfX9d1NRYDpP-Yv17A5cw?pwd=pggd,,,
['探戈，加德尔的放逐 El exilio de Gardel: Tangos (1985)'],http://www.weizhuos.cn/?p=5605,DVDRip视频+外挂中字：百度云盘  密码: 5fjj https://pan.baidu.com/s/167D2zITPmaqeGgPUsbm_JQ,,,
['达芙妮 Daphne (2007)'],http://www.weizhuos.cn/?p=5606,中字视频：百度云盘   密码: 5fjj https://pan.baidu.com/s/167D2zITPmaqeGgPUsbm_JQ,,,
['白雪公主杀人事件 白ゆき姫殺人事件 (2014)'],http://www.weizhuos.cn/?p=5607,视频：百度云盘 https://pan.baidu.com/s/1c12iSus,,,
['神秘村 The Village (2004)'],http://www.weizhuos.cn/?p=5608,视频：百度云盘  https://yun.baidu.com/s/1i4jQhMl#list/path=%2F恐怖电影%2F【神秘性--宗教】%3D不明（共33部）%2F神秘村&parentPath=%2F恐怖电影%2F【神秘性--宗教】%3D不明（共33部）,,,
['流入山谷 Down in the Valley (2005)'],http://www.weizhuos.cn/?p=5609,DVDrip视频+外挂中字：百度云盘 http://pan.baidu.com/s/1gddEbbt,,,
['致命围困 Walled In\xa0(2009)'],http://www.weizhuos.cn/?p=5610,,,视频：迅雷云盘 提取码：eyjz https://pan.xunlei.com/s/VN8WLcv5NwxmissfQIL3iUfGA1,
['寒栗 Kastanjemanden\xa0(2021)'],http://www.weizhuos.cn/?p=5611,视频：百度云盘 提取码: zhuo  https://pan.baidu.com/s/1qHz_SWtuaqlUVaHj1Ir8Sw?pwd=zhuo,,,
['留下罗茜 Keeping Rosy (2014)'],http://www.weizhuos.cn/?p=5612,视频：百度云盘 http://pan.baidu.com/s/1eS8yM6u,,,
['寒冬旅程 Зимний Путь (2013)'],http://www.weizhuos.cn/?p=5613,视频：百度云盘  https://pan.baidu.com/s/1bqgR3QZ?fid=588103754158762,,,
['风中有朵雨做的云\xa0(2018)'],http://www.weizhuos.cn/?p=5614,视频：百度云盘 提取码: zhuo   https://pan.baidu.com/s/1l7Oqxj7qq7mb4vWMfxNwzA?pwd=zhuo,视频：夸克云盘 https://pan.quark.cn/s/3e9af7cee1a2,,
['天天有喜之人间有爱\xa0(2016)'],http://www.weizhuos.cn/?p=5615,视频：百度云盘 https://pan.baidu.com/s/1bnQU4jX,,,
['复仇 Revanche (2008)'],http://www.weizhuos.cn/?p=5616,,,,
['通天塔 Babel (2006)'],http://www.weizhuos.cn/?p=5617,视频：百度云盘 提取码: spjx https://pan.baidu.com/s/1abqVYdZvXjPzuDj6ikhypw,,视频：迅雷云盘 提取码：29p8 https://pan.xunlei.com/s/VN0VxH5aK1sPlBpZURzxXK8NA1,
['不速之客：嘉宾 불청객 - 반가운 손님 (2016)'],http://www.weizhuos.cn/?p=5618,视频：百度云盘   https://pan.baidu.com/s/1o8D8R2q?fid=214891082662451,,,
['我们这种叛徒 Our Kind of Traitor (2016)'],http://www.weizhuos.cn/?p=5619,视频：百度云盘  https://pan.baidu.com/s/1dFJVjc1?fid=759151892061479,,,
['特警判官 Dredd (2012)'],http://www.weizhuos.cn/?p=5620,视频：百度云盘  https://pan.baidu.com/share/link?shareid=3023335514&uk=2091055519&fid=912143862392887,,,
['机器战警 1-3'],http://www.weizhuos.cn/?p=5621,视频（1987）：百度云盘 {含2014} https://yun.baidu.com/s/1miFmIEG,,,
['我和妻子的1778个故事 僕と妻の1778の物語 (2011)'],http://www.weizhuos.cn/?p=5622,视频：百度云盘   https://yun.baidu.com/s/1pJva5uV#list/path=%2F电影%2F%5B剧情片%5D%20我和妻子的1778个故事&parentPath=%2F电影,,,
['春天 봄 (2014)'],http://www.weizhuos.cn/?p=5623,视频：百度云盘 提取码：zhuo https://pan.baidu.com/s/1SffNn71N4iGWrppHXs_dLw,,,
['幽国车站 Una Pura formalità (1994)'],http://www.weizhuos.cn/?p=5624,DVDrip视频+外挂中字：百度云盘  https://pan.baidu.com/s/1hrS7VX6?fid=345772901587116,,,
['铁道员 鉄道員 (1999)'],http://www.weizhuos.cn/?p=5625,视频：百度云盘  | 百度云盘|百度云盘 https://yun.baidu.com/s/1m4bro https://yun.baidu.com/s/1qWI4CUC https://pan.baidu.com/s/1c3ACiOw,,,
['一年之冬 Im Winter ein Jahr (2008)'],http://www.weizhuos.cn/?p=5626,视频：百度云盘  https://pan.baidu.com/s/1cxHTSE?fid=511739148269063,,,
['沙漠中的最后时日 Last Days In The Desert (2015)'],http://www.weizhuos.cn/?p=5627,视频：百度云盘   密码: rb96 https://pan.baidu.com/s/12h4AEOpY0Q0_JNa3Se117g,,,
['小鬼闹非洲 Yankee Zulu (1993)'],http://www.weizhuos.cn/?p=5628,,,,
['白夜 백야 (2012)'],http://www.weizhuos.cn/?p=5629,视频：百度云盘   密码: krkn https://pan.baidu.com/s/1pcYYCgp3BGa6b6uNVm_j0w,,,
['接招吧！前辈\xa0(2021)'],http://www.weizhuos.cn/?p=5630,视频： 百度云盘 提取码: j7vk https://pan.baidu.com/s/1ShZ9CkGhoQQ-PJH5r1XVqQ,,,
['现在去见你 지금 만나러 갑니다\xa0(2018)'],http://www.weizhuos.cn/?p=5631,视频：百度云盘 提取码: yu6g  https://pan.baidu.com/s/1nX3H0mRxMG7HoDCnazSyrA,,,
['萌犬好声音 Pup Star (2016)'],http://www.weizhuos.cn/?p=5632,,,,
['慈善狂欢夜 Hilarity for Charity (2018)'],http://www.weizhuos.cn/?p=5633,WEBRip720p无字幕视频+外挂中字：百度网盘 密码：64i5 https://pan.baidu.com/s/1FwOuTYLj28P333ebrUpgqA,,,
['科洛 Colo (2017)'],http://www.weizhuos.cn/?p=5634,576P中英字幕视频：百度网盘 密码：gibe https://pan.baidu.com/s/1ywwjtvaytm8tgcxH3f73qw,,,
['异狂国度 Wild Wild Country (2018)'],http://www.weizhuos.cn/?p=5635,视频：百度网盘 密码：h8wk https://pan.baidu.com/s/1cDA5iGOgRwJ5YpaVFwbSHw,,,
['萌妻食神 电视剧版+动漫版'],http://www.weizhuos.cn/?p=5636,视频：百度云盘 提取码: 9prb https://pan.baidu.com/s/1tMN985kwF30KHZiOcPwkkg,,,
['钱袋 머니백 (2018)'],http://www.weizhuos.cn/?p=5638,HDRip1080p韩语中字视频：百度网盘 密码：rfrb https://pan.baidu.com/s/1TMuqrO7-b-ZO98M-35IHPg,,,
['家庭教师 家庭教師ヒットマン (2006)'],http://www.weizhuos.cn/?p=5639,视频：百度云盘  密码：147s http://pan.baidu.com/s/1o7OYi9s,,,
"[""总督之屋 Viceroy's House (2017)""]",http://www.weizhuos.cn/?p=5640,视频：百度网盘 密码：6deg https://pan.baidu.com/s/13FRm8Mog36HmifFc-rxM-Q,,,
['贝克斯 Becks (2017)'],http://www.weizhuos.cn/?p=5641,内嵌中英字幕视频：百度网盘 密码：vm9x  【乔木字幕组翻译】 https://pan.baidu.com/s/1o9VrAEA,,,
['超时空堡垒 The Stronghold (2017)'],http://www.weizhuos.cn/?p=5642,视频：百度云盘  密码: gbc8 https://pan.baidu.com/s/1BbZUik8gsG1ZX0RiqlMung,,,
['人工智能：灭绝危机 Genesis (2018)'],http://www.weizhuos.cn/?p=5643,视频：百度云盘  密码: 293x https://pan.baidu.com/s/1VYeaEByApW2I9Cc_bUd_6w,,,
['消失的西德尼·豪尔 The Vanishing of Sidney Hall (2017)'],http://www.weizhuos.cn/?p=5644,蓝光720p无字幕视频+外挂中字：百度网盘 密码：6ktw https://pan.baidu.com/s/1ldS8RQHmaDJhuZbunEHCAQ,,,
['地狱自拍 Selfie from Hell (2018)'],http://www.weizhuos.cn/?p=5646,内嵌中字视频：百度网盘 密码：ypnz https://pan.baidu.com/s/1mVmnQmjgl0XVP9J4tCKbtw,,,
['恶床 BED OF THE DEAD (2016)'],http://www.weizhuos.cn/?p=5647,内嵌中文字幕视频：百度网盘 密码：eyf6 https://pan.baidu.com/s/1oEMT0NPG1Y8L7-d-EnZg4w,,,
['野良猫 アリーキャット (2017)'],http://www.weizhuos.cn/?p=5648,视频：百度云盘 提取码: ae3t https://pan.baidu.com/s/1i6lyGux,,,
['花花子弟 Dude (2018)'],http://www.weizhuos.cn/?p=5649,视频：百度云盘 密码: mp4q https://pan.baidu.com/s/1AqgPM28aoMdPAqYlzqRSbg,,,
['野生狼性 Wildling (2018)'],http://www.weizhuos.cn/?p=5650,内嵌中英字幕视频：百度网盘 密码：34dx https://pan.baidu.com/s/13He3tty17WIlh55SouzOUw,,,
['温彻斯特 Winchester (2018)'],http://www.weizhuos.cn/?p=5651,内嵌中英字幕视频：百度网盘 密码：9qpi https://pan.baidu.com/s/10ggzw-sJbjIOGKbATBC7RQ,,,
['去日无痕 Gone Are the Days (2018)'],http://www.weizhuos.cn/?p=5652,视频：百度云盘 提取码: ezve https://pan.baidu.com/s/1rvffvQxxgbJEJwzGr9GWYA,,,
['拜托了衣橱 (2016)'],http://www.weizhuos.cn/?p=5653,视频：百度云盘  密码: i239 https://pan.baidu.com/s/1gyLCRh9uQBWmO0FwcjgE7A,,,
['谍影迷情  Covert Affairs Season 1 - 5'],http://www.weizhuos.cn/?p=5654,,,,
['我的主人 My Mistress (2014)'],http://www.weizhuos.cn/?p=5655,,,,
['火锅英雄 (2016)'],http://www.weizhuos.cn/?p=5656,,,视频：迅雷云盘 提取码：gsa6 https://pan.xunlei.com/s/VN2ZCbNZsdCUMk8cjdlWPKJ7A1#,
['仅此一夜 원나잇 온리 (2014)'],http://www.weizhuos.cn/?p=5657,视频：百度云盘 提取码: rxcv https://pan.baidu.com/s/1YI-YQj2MqmTmT3WijH4iYQ,,,
['千王情人 (1993)'],http://www.weizhuos.cn/?p=5658,视频：百度云盘  https://pan.baidu.com/s/1i5BcEqT?fid=857658965089137,,,
['耶稣传 Jesus (1979)'],http://www.weizhuos.cn/?p=5659,,,,
['男人不可以穷 男人唔可以窮 (2014)'],http://www.weizhuos.cn/?p=5660,视频：百度云盘   密码: jpch https://pan.baidu.com/s/1gEYMouYA1RzFgy0u6t-1dg,,,
['火宅之人 火宅の人\xa0(1986)'],http://www.weizhuos.cn/?p=5661,,,,
['最后的舞动 The Last Dance\xa0(2020)'],http://www.weizhuos.cn/?p=5662,视频：百度云盘 提取码: 38ug   https://pan.baidu.com/s/1bnjp9yq-7aZqqMy0x6SXfA?pwd=38ug,,,
['冲出康普顿 Straight Outta Compton (2015)'],http://www.weizhuos.cn/?p=5663,视频：百度云盘   密码: h4xq https://pan.baidu.com/s/1IzxJQrScB8aaWvM_l3ke6w,,,
['所爱非人 (2016)'],http://www.weizhuos.cn/?p=5664,视频：百度云盘   密码: da5d https://pan.baidu.com/s/19sk5ZY7JXw53QC_tAPO5-g,,,
"[""爱的真谛 Sa raison d'être (2008)""]",http://www.weizhuos.cn/?p=5665,视频：百度云盘   密码: 81xe https://pan.baidu.com/s/1Ej3mXLF0gwFya_w3Eh5t_Q,,,
['考死2：教学实习 고사 두 번째 이야기: 교생실습 (2010)'],http://www.weizhuos.cn/?p=5666,视频：百度云盘  https://pan.baidu.com/s/1gdiwDOZ,,,
['张梁记\xa0(2016)'],http://www.weizhuos.cn/?p=5667,视频：百度云盘 提取码: 4567   https://pan.baidu.com/s/1fqcAXXs5jJc-4v0C-SL0kA?pwd=4567,,,
['诺亚方舟漂流记 Ooops! Die Arche ist weg... (2015)'],http://www.weizhuos.cn/?p=5668,国英双语视频：百度云盘  https://pan.baidu.com/s/1geXjvRd?fid=771676816887797,,,
['乱步奇谭 乱歩奇譚 Game of Laplace (2015)'],http://www.weizhuos.cn/?p=5669,视频：百度云盘 提取码: 61be https://pan.baidu.com/s/1pSRP9v-VNE1MHUzOOWBjYQ,,,
['电影43 Movie 43 (2013)'],http://www.weizhuos.cn/?p=5670,视频：百度云盘 https://yun.baidu.com/s/1c1sdsRY#list/path=%2F0129%2F电影43&parentPath=%2F0129,,,
['埃尔维斯与安娜贝尔 Elvis and Anabelle\xa0(2007)'],http://www.weizhuos.cn/?p=5671,,,视频：迅雷云盘  https://pan.xunlei.com/s/VNIWo_N_i4MpjYg-gQe687IKA1?pwd=79xh#,
['远离尘嚣 Far From the Madding Crowd (2015)'],http://www.weizhuos.cn/?p=5672,视频：百度云盘 https://pan.baidu.com/s/1gdq6LqV,,,
['良医妙药 Extraordinary Measures (2010)'],http://www.weizhuos.cn/?p=5673,视频：百度云盘 提取码：7777 https://pan.baidu.com/s/1CqgK-hDNY887glaG98cA0A,,,
"[""她在路上 Elle s'en va (2013)""]",http://www.weizhuos.cn/?p=5674,视频：百度云盘 :  密码: huup https://pan.baidu.com/s/1uj7qZbZbScpa_5nHqbP0xg,,,
['少许灰烬 Little Ashes\xa0(2008)'],http://www.weizhuos.cn/?p=5675,,,视频：迅雷云盘 提取码：ixwh https://pan.xunlei.com/s/VMzcuVUWwWwcPKJtT983dGfAA1,
['在路上 Highway (2014)'],http://www.weizhuos.cn/?p=5676,视频：百度云盘 https://pan.baidu.com/s/1nuYSqkL,,,
['盲证 블라인드 (2011)'],http://www.weizhuos.cn/?p=5677,视频：百度云盘 提取码: 4567 https://pan.baidu.com/s/1fcBE90LFV5k5VuPV3xmPQw?pwd=4567,视频：夸克云盘 https://pan.quark.cn/s/44cb8ca1d6a2,视频：迅雷云盘 提取码：vb58 https://pan.xunlei.com/s/VN6kC-EOTzsTiXDMdAZEvaa8A1,
['哦！我的皇帝陛下 (2018)'],http://www.weizhuos.cn/?p=5679,,,,
['表错7日情 表錯7日情 (1983)'],http://www.weizhuos.cn/?p=5680,视频：百度云盘 https://yun.baidu.com/s/1bo1e5HH,,,
['不可饶恕 용서는 없다 (2010)'],http://www.weizhuos.cn/?p=5681,视频：百度云盘  密码:3rne https://pan.baidu.com/s/1RzxvxWrFGPd6MJia0M1w9Q,,,
['疯狂教授生物课 A.P. Bio (2018)'],http://www.weizhuos.cn/?p=5682,视频：百度云盘 密码: rpc3 https://pan.baidu.com/s/1X2u6xZpyS9NHuqXYe9bx0w,,,
['诚邀辣妹：网络性与爱 第一季 Hot Girls Wanted: Turned On Season 1 (2017)'],http://www.weizhuos.cn/?p=5684,视频：百度云  密码: 5q42 https://pan.baidu.com/s/186KFq-sQsVf0HSQYgipWMg,,,
['追忆潸然 いつかこの恋を思い出してきっと泣いてしまう (2016)'],http://www.weizhuos.cn/?p=5685,视频；百度云盘 密码: g9ra https://pan.baidu.com/s/1ORN0nf6RhCfYyb5kW5i2Mg,,,
['高校处世王 고교처세왕 (2014)'],http://www.weizhuos.cn/?p=5686,视频：百度云盘  |  百度云盘 https://yun.baidu.com/s/1hq30xPq https://yun.baidu.com/s/1pLyeDZ1,,,
['大叔之爱  1 - 2 季'],http://www.weizhuos.cn/?p=5687,,,,
['黑执事 黒執事 1 ~ 3 季'],http://www.weizhuos.cn/?p=5688,,,第三季.视频：迅雷云盘 提取码：dmsg https://pan.xunlei.com/s/VMa3oCxiKhlRHyzZgNnc2OksA1,
['洗冤录 洗冤錄1 - 2'],http://www.weizhuos.cn/?p=5689,,,,
['蝙蝠侠：侠影之谜 Batman Begins (2005)'],http://www.weizhuos.cn/?p=5690,,,视频：迅雷云盘 提取码：6pf7 https://pan.xunlei.com/s/VMk7RasSX7VjmoIJD_QxgtcLA1,
['圣诞奇妙公司 Santa & Cie (2017)'],http://www.weizhuos.cn/?p=5691,视频：百度网盘 密码：c7w1 https://pan.baidu.com/s/1t7VZHJiaieeD6EMIu1KFew,,,
['刽子手 The Executioners (2017)'],http://www.weizhuos.cn/?p=5692,内中英字幕视频：百度网盘 密码：fzyy https://pan.baidu.com/s/1muwcnN2kcn9VCpEvMqIotg,,,
['冰封迷案 (2018)'],http://www.weizhuos.cn/?p=5693,视频：百度云盘  密码: 9xhf https://pan.baidu.com/s/1jysQgdafAKR1x19xZw-7Hw,,,
['有关时间旅行的热门问题 Frequently Asked Questions About Time Travel\xa0(2009)'],http://www.weizhuos.cn/?p=5694,视频：百度云盘 提取码:zdc9 https://pan.baidu.com/s/1Ulyuwz6_S56PbexWJdHLQw,,,
['丘吉尔 Churchill (2017)'],http://www.weizhuos.cn/?p=5695,蓝光720p内嵌中文字幕视频：百度网盘 密码：rv73 https://pan.baidu.com/s/1k-9j1tPq_5tF0QCmczb_1A,,,
['雪山奇迹 6 Below (2017)'],http://www.weizhuos.cn/?p=5696,WEB-DL1080p视频+外挂中字：百度云盘 密码：pz4m http://pan.baidu.com/s/1bWYAxo,,,
['城与城 The City and the City (2018)'],http://www.weizhuos.cn/?p=5697,视频：百度云盘 密码: b99k https://pan.baidu.com/s/1pCQYA7a3mr5-wgUO6umkQQ,,,
['心如白纸 Tabula Rasa (2017)'],http://www.weizhuos.cn/?p=5698,720p全集无字幕视频+外挂中字：百度网盘 密码：95eg https://pan.baidu.com/s/1xuF3qJTTLgTCpMdxnXqmGw,,,
['杀不死 (2017)'],http://www.weizhuos.cn/?p=5700,视频：百度云盘 提取码：ca80  https://pan.baidu.com/s/1mlF7JAF_IYAercKmzvrkgw,,,
['正义之凛 正義のセ (2018)'],http://www.weizhuos.cn/?p=5701,视频：百度云盘 密码: cwhb https://pan.baidu.com/s/1sRUS-Kx3WpSRZZBrGW0XCw,,,
['纸钞屋  La casa de papel Season 1 - 5'],http://www.weizhuos.cn/?p=5704,,,,
['英语发展史 The Adventure Of English (2002)'],http://www.weizhuos.cn/?p=5705,视频：百度云盘 密码: sdf2 https://pan.baidu.com/s/18G6R6H0xYcB4Ao60fS0c0A,,,
['尸约 / 承诺 เพื่อนที่ระลึก (2017)'],http://www.weizhuos.cn/?p=5706,视频：百度网盘 密码: khwh https://pan.baidu.com/s/1mjVur6S,,,
['男子游泳部 Free!  1 -  3 季'],http://www.weizhuos.cn/?p=5707,,,,
"['亲爱的，我把我们缩小了 Honey, We Shrunk Ourselves! (1997)']",http://www.weizhuos.cn/?p=5708,视频：百度云盘 提取码：4pas https://pan.baidu.com/s/1Y8dAMrYje4A1EzdVIeHkgg,,,
"['亲爱的，我把孩子放大了 Honey, I Blew Up the Kid (1992)']",http://www.weizhuos.cn/?p=5709,视频：百度云盘 https://yun.baidu.com/s/1mi5vl92,,,
['后来的我们 (2018）'],http://www.weizhuos.cn/?p=5710,视频：百度云盘 密码：4lsn https://pan.baidu.com/s/1n9GtJC7eKaZehoDfFZQV0Q,,,
